Title,Subtitle,Image,Author,Publication,Year,Month,Day,Tag,Reading_Time,Claps,Comment,url,Author_url 
Economist Article: Use Big Data to Drive Many Small Changes That Add Up,by Michael Watson,0,Opex Analytics,The Opex Analytics Blog,2014,11,24,data-engineering,2,0,0,https://medium.com/opex-analytics/economist-article-use-big-data-to-drive-many-small-changes-that-add-up-3fa79bf29447?source=tag_archive---------8-----------------------,https://medium.com/@OpexAnalytics?source=tag_archive---------8-----------------------
Spending Your Analytics Time Where It Counts,by Sara Hoormann,0,Opex Analytics,The Opex Analytics Blog,2014,11,24,data-engineering,1,0,0,https://medium.com/opex-analytics/spending-your-analytics-time-where-it-counts-8ea0c9725ae7?source=tag_archive---------9-----------------------,https://medium.com/@OpexAnalytics?source=tag_archive---------9-----------------------
Data Science vs Data Engineering,We explore the differences between Data Science and Data Engineering,1,Insight,Insight,2014,11,25,data-engineering,4,209,0,https://blog.insightdatascience.com/data-science-vs-data-engineering-62da7678adaa?source=tag_archive---------0-----------------------,https://blog.insightdatascience.com/@InsightData?source=tag_archive---------0-----------------------
"Building a Forex trading platform using Kafka, Storm and Cassandra",NaN,1,Insight,Insight,2014,11,25,data-engineering,7,287,0,https://blog.insightdatascience.com/building-a-forex-trading-platform-using-kafka-storm-and-cassandra-a48b262facc2?source=tag_archive---------1-----------------------,https://blog.insightdatascience.com/@InsightData?source=tag_archive---------1-----------------------
Building Pinalytics: Pinterests data analytics engine,NaN,1,Pinterest Engineering,Pinterest Engineering Blog,2014,11,25,data-engineering,6,6,0,https://medium.com/pinterest-engineering/building-pinalytics-pinterests-data-analytics-engine-e14c651780ca?source=tag_archive---------2-----------------------,https://medium.com/@Pinterest_Engineering?source=tag_archive---------2-----------------------
Fellows Spotlight: Ryan IrwinWhy I Love Data Engineering,NaN,1,Insight,Insight,2014,11,25,data-engineering,4,0,0,https://blog.insightdatascience.com/fellows-spotlight-ryan-irwin-why-i-love-data-engineering-b86eba5d8546?source=tag_archive---------3-----------------------,https://blog.insightdatascience.com/@InsightData?source=tag_archive---------3-----------------------
Fellows Spotlight: Rick SeegerJaunt: A Road Trip Survival Guide,NaN,1,Insight,Insight,2014,11,25,data-engineering,5,10,0,https://blog.insightdatascience.com/fellows-spotlight-rick-seeger-jaunt-a-road-trip-survival-guide-d395bcef2e83?source=tag_archive---------4-----------------------,https://blog.insightdatascience.com/@InsightData?source=tag_archive---------4-----------------------
Insight Data Engineering Fellows Program applications open for September 2014,NaN,1,Insight,Insight,2014,11,25,data-engineering,2,0,0,https://blog.insightdatascience.com/insight-data-engineering-fellows-program-applications-open-for-september-2014-5c2ab53c08c7?source=tag_archive---------5-----------------------,https://blog.insightdatascience.com/@InsightData?source=tag_archive---------5-----------------------
Insight Data Engineering Fellows Program applications due Oct 27,NaN,1,Insight,Insight,2014,11,25,data-engineering,3,0,0,https://blog.insightdatascience.com/insight-data-engineering-fellows-program-applications-due-oct-27-6485a51f986?source=tag_archive---------6-----------------------,https://blog.insightdatascience.com/@InsightData?source=tag_archive---------6-----------------------
More Proof that You Should Pay Attention to Big Data: Case New Holland Ad for Farmers During a Big Ten Game is All,NaN,1,Opex Analytics,The Opex Analytics Blog,2014,11,25,data-engineering,2,0,0,https://medium.com/opex-analytics/more-proof-that-you-should-pay-attention-to-big-data-case-new-holland-ad-for-farmers-during-a-big-ae5ef632c16c?source=tag_archive---------7-----------------------,https://medium.com/@OpexAnalytics?source=tag_archive---------7-----------------------
Economist Article: Use Big Data to Drive Many Small Changes That Add Up,by Michael Watson,0,Opex Analytics,The Opex Analytics Blog,2014,11,25,data-engineering,2,0,0,https://medium.com/opex-analytics/economist-article-use-big-data-to-drive-many-small-changes-that-add-up-3fa79bf29447?source=tag_archive---------8-----------------------,https://medium.com/@OpexAnalytics?source=tag_archive---------8-----------------------
Spending Your Analytics Time Where It Counts,by Sara Hoormann,0,Opex Analytics,The Opex Analytics Blog,2014,11,25,data-engineering,1,0,0,https://medium.com/opex-analytics/spending-your-analytics-time-where-it-counts-8ea0c9725ae7?source=tag_archive---------9-----------------------,https://medium.com/@OpexAnalytics?source=tag_archive---------9-----------------------
Data Science vs Data Engineering,We explore the differences between Data Science and Data Engineering,1,Insight,Insight,2014,11,26,data-engineering,4,209,0,https://blog.insightdatascience.com/data-science-vs-data-engineering-62da7678adaa?source=tag_archive---------0-----------------------,https://blog.insightdatascience.com/@InsightData?source=tag_archive---------0-----------------------
"Building a Forex trading platform using Kafka, Storm and Cassandra",NaN,1,Insight,Insight,2014,11,26,data-engineering,7,287,0,https://blog.insightdatascience.com/building-a-forex-trading-platform-using-kafka-storm-and-cassandra-a48b262facc2?source=tag_archive---------1-----------------------,https://blog.insightdatascience.com/@InsightData?source=tag_archive---------1-----------------------
Building Pinalytics: Pinterests data analytics engine,NaN,1,Pinterest Engineering,Pinterest Engineering Blog,2014,11,26,data-engineering,6,6,0,https://medium.com/pinterest-engineering/building-pinalytics-pinterests-data-analytics-engine-e14c651780ca?source=tag_archive---------2-----------------------,https://medium.com/@Pinterest_Engineering?source=tag_archive---------2-----------------------
Fellows Spotlight: Ryan IrwinWhy I Love Data Engineering,NaN,1,Insight,Insight,2014,11,26,data-engineering,4,0,0,https://blog.insightdatascience.com/fellows-spotlight-ryan-irwin-why-i-love-data-engineering-b86eba5d8546?source=tag_archive---------3-----------------------,https://blog.insightdatascience.com/@InsightData?source=tag_archive---------3-----------------------
Fellows Spotlight: Rick SeegerJaunt: A Road Trip Survival Guide,NaN,1,Insight,Insight,2014,11,26,data-engineering,5,10,0,https://blog.insightdatascience.com/fellows-spotlight-rick-seeger-jaunt-a-road-trip-survival-guide-d395bcef2e83?source=tag_archive---------4-----------------------,https://blog.insightdatascience.com/@InsightData?source=tag_archive---------4-----------------------
Insight Data Engineering Fellows Program applications open for September 2014,NaN,1,Insight,Insight,2014,11,26,data-engineering,2,0,0,https://blog.insightdatascience.com/insight-data-engineering-fellows-program-applications-open-for-september-2014-5c2ab53c08c7?source=tag_archive---------5-----------------------,https://blog.insightdatascience.com/@InsightData?source=tag_archive---------5-----------------------
Insight Data Engineering Fellows Program applications due Oct 27,NaN,1,Insight,Insight,2014,11,26,data-engineering,3,0,0,https://blog.insightdatascience.com/insight-data-engineering-fellows-program-applications-due-oct-27-6485a51f986?source=tag_archive---------6-----------------------,https://blog.insightdatascience.com/@InsightData?source=tag_archive---------6-----------------------
More Proof that You Should Pay Attention to Big Data: Case New Holland Ad for Farmers During a Big Ten Game is All,NaN,1,Opex Analytics,The Opex Analytics Blog,2014,11,26,data-engineering,2,0,0,https://medium.com/opex-analytics/more-proof-that-you-should-pay-attention-to-big-data-case-new-holland-ad-for-farmers-during-a-big-ae5ef632c16c?source=tag_archive---------7-----------------------,https://medium.com/@OpexAnalytics?source=tag_archive---------7-----------------------
Economist Article: Use Big Data to Drive Many Small Changes That Add Up,by Michael Watson,0,Opex Analytics,The Opex Analytics Blog,2014,11,26,data-engineering,2,0,0,https://medium.com/opex-analytics/economist-article-use-big-data-to-drive-many-small-changes-that-add-up-3fa79bf29447?source=tag_archive---------8-----------------------,https://medium.com/@OpexAnalytics?source=tag_archive---------8-----------------------
Spending Your Analytics Time Where It Counts,by Sara Hoormann,0,Opex Analytics,The Opex Analytics Blog,2014,11,26,data-engineering,1,0,0,https://medium.com/opex-analytics/spending-your-analytics-time-where-it-counts-8ea0c9725ae7?source=tag_archive---------9-----------------------,https://medium.com/@OpexAnalytics?source=tag_archive---------9-----------------------
Data Science vs Data Engineering,We explore the differences between Data Science and Data Engineering,1,Insight,Insight,2014,11,27,data-engineering,4,209,0,https://blog.insightdatascience.com/data-science-vs-data-engineering-62da7678adaa?source=tag_archive---------0-----------------------,https://blog.insightdatascience.com/@InsightData?source=tag_archive---------0-----------------------
"Building a Forex trading platform using Kafka, Storm and Cassandra",NaN,1,Insight,Insight,2014,11,27,data-engineering,7,287,0,https://blog.insightdatascience.com/building-a-forex-trading-platform-using-kafka-storm-and-cassandra-a48b262facc2?source=tag_archive---------1-----------------------,https://blog.insightdatascience.com/@InsightData?source=tag_archive---------1-----------------------
Building Pinalytics: Pinterests data analytics engine,NaN,1,Pinterest Engineering,Pinterest Engineering Blog,2014,11,27,data-engineering,6,6,0,https://medium.com/pinterest-engineering/building-pinalytics-pinterests-data-analytics-engine-e14c651780ca?source=tag_archive---------2-----------------------,https://medium.com/@Pinterest_Engineering?source=tag_archive---------2-----------------------
Fellows Spotlight: Ryan IrwinWhy I Love Data Engineering,NaN,1,Insight,Insight,2014,11,27,data-engineering,4,0,0,https://blog.insightdatascience.com/fellows-spotlight-ryan-irwin-why-i-love-data-engineering-b86eba5d8546?source=tag_archive---------3-----------------------,https://blog.insightdatascience.com/@InsightData?source=tag_archive---------3-----------------------
Fellows Spotlight: Rick SeegerJaunt: A Road Trip Survival Guide,NaN,1,Insight,Insight,2014,11,27,data-engineering,5,10,0,https://blog.insightdatascience.com/fellows-spotlight-rick-seeger-jaunt-a-road-trip-survival-guide-d395bcef2e83?source=tag_archive---------4-----------------------,https://blog.insightdatascience.com/@InsightData?source=tag_archive---------4-----------------------
Insight Data Engineering Fellows Program applications open for September 2014,NaN,1,Insight,Insight,2014,11,27,data-engineering,2,0,0,https://blog.insightdatascience.com/insight-data-engineering-fellows-program-applications-open-for-september-2014-5c2ab53c08c7?source=tag_archive---------5-----------------------,https://blog.insightdatascience.com/@InsightData?source=tag_archive---------5-----------------------
Insight Data Engineering Fellows Program applications due Oct 27,NaN,1,Insight,Insight,2014,11,27,data-engineering,3,0,0,https://blog.insightdatascience.com/insight-data-engineering-fellows-program-applications-due-oct-27-6485a51f986?source=tag_archive---------6-----------------------,https://blog.insightdatascience.com/@InsightData?source=tag_archive---------6-----------------------
More Proof that You Should Pay Attention to Big Data: Case New Holland Ad for Farmers During a Big Ten Game is All,NaN,1,Opex Analytics,The Opex Analytics Blog,2014,11,27,data-engineering,2,0,0,https://medium.com/opex-analytics/more-proof-that-you-should-pay-attention-to-big-data-case-new-holland-ad-for-farmers-during-a-big-ae5ef632c16c?source=tag_archive---------7-----------------------,https://medium.com/@OpexAnalytics?source=tag_archive---------7-----------------------
